Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Image Src
astonished-blinking-white-guy,Astonished Blinking White Guy,,CBB,Sticker,"meme",FALSE,ASTONISHED-BLINKING-WHITE-GUY,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Astonished_Blinking_White_Guy/Astonished_Blinking_White_Guy.webp
awkward-party-reaction,Awkward Party Reaction,,CBB,Sticker,"meme",FALSE,AWKWARD-PARTY-REACTION,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Awkward_Party_Reaction/Awkward_Party_Reaction.webp
awkward-seal,Awkward Seal,,CBB,Sticker,"meme",FALSE,AWKWARD-SEAL,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Awkward_Seal/Awkward_Seal.webp
baby-insanity-wolf,Baby Insanity Wolf,,CBB,Sticker,"meme",FALSE,BABY-INSANITY-WOLF,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Baby_Insanity_Wolf/Baby_Insanity_Wolf.webp
back-in-my-day,Back in My Day,,CBB,Sticker,"meme",FALSE,BACK-IN-MY-DAY,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Back_in_My_Day/Back_in_My_Day.webp
bad-joke-eel,Bad Joke Eel,,CBB,Sticker,"meme",FALSE,BAD-JOKE-EEL,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Joke_Eel/Bad_Joke_Eel.webp
bad-luck-brian,Bad Luck Brian,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian/Bad_Luck_Brian.webp
bad-luck-brian-meme,Bad Luck Brian Meme,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_Meme/Bad_Luck_Brian_Meme.webp
bad-luck-brian-unfortunate-version-meme,Bad Luck Brian Unfortunate Version Meme,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-UNFORTUNATE-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_Unfortunate_Version_Meme/Bad_Luck_Brian_Unfortunate_Version_Meme.webp
bad-luck-brian-unlucky-version-meme,Bad Luck Brian Unlucky Version Meme,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-UNLUCKY-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_Unlucky_Version_Meme/Bad_Luck_Brian_Unlucky_Version_Meme.webp
